island,date,Count
Boca Grande,3/23/12,38
Boca Grande,3/30/12,27
Boca Grande,4/4/12,45
Boca Grande,4/13/12,26
Boca Grande,4/20/12,18
Boca Grande,5/11/12,2
Boca Grande,6/10/12,2
Boca Grande,7/13/12,6
Boca Grande,7/28/12,28
Boca Grande,8/17/12,55
Boca Grande,9/27/12,11
Boca Grande,10/19/12,12
Boca Grande,11/16/12,4
Boca Grande,12/7/12,2
Boca Grande,1/15/13,3
Boca Grande,2/12/13,7
Boca Grande,3/8/13,0
Boca Grande,5/9/13,0
Boca Grande,5/31/13,9
Boca Grande,7/22/13,19
Boca Grande,7/28/13,44
Boca Grande,8/13/13,26
Boca Grande,9/10/13,16
Boca Grande,9/26/13,13
Boca Grande,10/22/13,23
Boca Grande,11/21/13,1
,,
Long Beach,3/30/12,34
Long Beach,4/2/12,33
Long Beach,5/10/12,4
Long Beach,6/9/12,8
Long Beach,7/24/12,39
Long Beach,8/14/12,51
Long Beach,9/19/12,5
Long Beach,11/1/12,10
Long Beach,11/26/12,5
Long Beach,12/18/12,11
Long Beach,2/6/13,1
Long Beach,5/24/13,5
Long Beach,7/12/13,53
Long Beach,7/29/13,14
Long Beach,9/20/13,11
Long Beach,11/2/13,20
Long Beach,11/20/13,3
,,
East Beach,3/24/12,6
East Beach,5/11/12,1
East Beach,6/30/12,3
East Beach,8/1/12,13
East Beach,8/18/12,10
East Beach,9/27/12,1
East Beach,11/2/12,2
East Beach,11/27/12,1
East Beach,12/16/12,0
East Beach,5/22/13,0
East Beach,7/22/13,1
East Beach,7/28/13,3
East Beach,9/21/13,3
East Beach,10/21/13,6
East Beach,11/18/13,0
,,
Snook Beach,3/24/12,3
Snook Beach,8/1/12,17
Snook Beach,8/18/12,21
Snook Beach,9/30/12,6
Snook Beach,11/2/12,0
Snook Beach,11/27/12,7
Snook Beach,12/16/12,3
Snook Beach,1/21/13,2
Snook Beach,4/15/13,0
Snook Beach,5/22/13,0
Snook Beach,7/28/13,2
Snook Beach,9/21/13,2
Snook Beach,10/22/13,1
Snook Beach,11/20/13,3
,,
Short Beach,4/11/12,13
Short Beach,6/30/12,1
Short Beach,7/31/12,12
Short Beach,8/18/12,7
Short Beach,9/30/12,0
Short Beach,11/2/12,5
Short Beach,11/15/12,1
Short Beach,1/16/13,1
Short Beach,2/24/13,2
Short Beach,4/1/13,0
Short Beach,5/22/13,0
Short Beach,7/9/13,11
Short Beach,7/27/13,4
Short Beach,9/13/13,3
Short Beach,10/21/13,4
Short Beach,11/19/13,0
,,
Main Beach,4/10/12,21
Main Beach,5/9/12,1
Main Beach,6/29/12,1
Main Beach,7/31/12,24
Main Beach,8/15/12,13
Main Beach,9/29/12,8
Main Beach,10/17/12,6
Main Beach,11/15/12,20
Main Beach,12/9/12,5
Main Beach,1/21/13,7
Main Beach,2/24/13,3
Main Beach,4/1/13,0
Main Beach,5/8/13,3
Main Beach,5/24/13,7
Main Beach,7/11/13,28
Main Beach,7/27/13,15
Main Beach,9/13/13,6
Main Beach,9/30/13,20
Main Beach,11/1/13,11
Main Beach,11/19/13,5
,,
Third Beach,4/11/12,18
Third Beach,5/9/12,1
Third Beach,7/28/12,7
Third Beach,8/15/12,9
Third Beach,9/29/12,4
Third Beach,11/2/12,7
Third Beach,12/9/12,15
Third Beach,1/16/13,7
Third Beach,3/5/13,0
Third Beach,4/15/13,0
Third Beach,6/1/13,1
Third Beach,7/12/13,12
Third Beach,7/27/13,10
Third Beach,8/13/13,4
Third Beach,9/21/13,10
Third Beach,10/21/13,15
Third Beach,11/19/13,4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
