CommonName,MinBrood,MaxBrood,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Black Swallowtail,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3
Common Wood Nymph,1,2,2,2,2,2,2,3,2,2,3,2,2,3,2,3,3,2,2
Eastern Tiger Swallowtail,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,4,4,3,3
European Skipper,1,2,1,2,1,1,2,2,2,2,2,3,1,1,2,2,2,1,2
Hackberry Emperor,2,3,NA,2,2,2,2,2,3,2,3,3,2,2,2,3,3,2,2
Hobomok Skipper,1,2,2,2,2,2,2,2,2,2,2,3,1,2,1,2,1,2,2
Juvenal's Duskywing,1,2,NA,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2
Least Skipper,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
Little Glassy Wing,1,3,2,1,1,2,2,2,2,3,2,2,3,2,3,2,3,2,3
Little Wood Satyr,1,3,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,2
Northern Broken-Dash,1,2,NA,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2
Northern Pearly-Eye,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,3,2,2
Peck's Skipper,2,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3
Red-spotted Purple,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3
Silver-spotted Skipper,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,4,2,3
Spicebush Swallowtail,2,3,3,3,2,2,2,2,2,3,2,3,2,3,3,2,3,3,2
Viceroy,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Wild Indigo Duskywing,2,4,NA,1,3,3,3,3,3,4,3,3,4,3,4,3,4,3,3
Zabulon Skipper,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2
