"SeqID","mean.temp","mean.cloud","mean.wind","start.hour","ord.date","week","duration","num.species","un.id.species","abund","un.id.abund"
54,66.5,0,4,12,102,2,45,4,0,10,0
55,62,0,2,12,108,3,45,1,0,11,0
56,61,20,2,13,115,4,40,3,0,15,0
57,68.5,5,2,16,123,5,40,5,0,8,0
58,64,20,10,12,130,6,65,6,0,12,0
59,80,0,6,14,137,7,65,6,0,12,0
60,69,0,4,12,143,8,100,12,0,31,0
61,81,0,2,12,150,9,95,9,0,22,0
62,62.5,30,16,14,158,10,95,8,0,28,0
63,73.5,90,2,14,165,11,105,10,0,102,0
64,85,2.5,1,13,171,12,105,10,0,89,0
65,86.5,20,6,12,175,13,120,18,0,116,0
66,76.5,15,10,13,186,14,120,15,0,121,0
67,76,0,8,13,192,15,100,13,0,74,0
68,82.5,50,13,12,200,16,80,12,0,57,0
69,78,27.5,2,13,207,17,95,11,0,46,0
70,81,0,1.5,13,214,18,95,11,0,57,0
71,86.5,2.5,8,13,220,19,100,10,0,73,0
72,79,10,4,12,227,20,90,11,0,80,0
73,83.5,10,4,12,234,21,95,11,0,125,0
74,79,0,10,12,242,22,105,10,0,129,0
75,85.5,0,13,13,249,23,95,9,0,82,0
76,83.5,0,2,13,256,24,85,12,0,95,0
77,81,25,10,13,263,25,155,13,0,84,0
78,80.5,0,10,12,269,26,80,7,0,61,0
79,63,30,2,13,113,4,50,2,0,6,0
80,75,45,2,13,126,6,75,2,0,3,0
81,81,12.5,1,13,134,7,90,3,0,16,0
82,71,0,9,14,143,8,120,8,0,147,0
83,79,90,16,11,149,9,110,8,0,102,0
84,63,45,16,15,156,10,100,12,0,74,0
85,75,7.5,22,11,169,12,115,8,0,147,0
86,85,50,22,15,177,13,115,13,0,238,0
87,80,40,3,13,195,15,100,12,0,121,0
88,85,35,2,13,184,14,100,12,0,91,0
89,76,50,1,12,208,17,110,7,0,72,0
90,77,7.5,2,14,214,18,95,9,0,53,0
91,84,3,32,13,229,20,125,9,0,39,0
92,81.5,50,16,13,235,21,105,6,0,16,0
93,73,95,9,14,244,22,155,4,0,4,0
94,81,0,1,15,256,24,95,4,0,9,0
95,74,100,0,15,262,25,NA,2,0,3,0
96,86,0,16,15,269,26,55,1,0,1,0
97,71,67.5,20,14,111,3,40,2,0,2,0
98,65.5,0,4,14,112,3,45,3,0,8,0
99,61.5,40,12,13,118,4,45,2,0,3,0
100,65,60,8,12,126,5,45,0,0,0,0
101,74,62.5,2,11,160,10,125,5,0,7,0
102,84,20,1.5,13,168,11,80,15,0,44,0
103,82,45,10,11,174,12,90,15,0,130,0
104,90,0,16,15,181,13,75,9,0,35,0
105,72,5,16,11,186,14,100,13,0,43,0
106,83,77.5,3.5,15,196,15,80,13,0,68,0
107,84,50,4,14,195,15,140,11,0,70,0
108,76.5,32.5,3,13,203,16,80,14,0,74,0
109,79,25,4,13,210,17,90,18,0,101,0
110,76,75,0,15,215,18,60,8,0,16,0
111,80,15,2,14,238,21,65,13,0,36,0
113,80,30,4,14,244,22,75,15,0,85,0
114,82,10,1,12,246,23,90,16,0,136,0
115,63,92.5,8,14,259,24,60,8,0,34,0
116,67,60,2,10,265,25,60,7,0,66,0
117,66,7.5,16,13,273,26,65,10,0,78,0
118,72,0,19,12,96,1,45,1,0,1,0
119,58,0,2,14,110,3,50,3,0,4,0
120,67,10,2,12,116,4,40,3,0,8,0
